Sep 19, 2019  07:01:52 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1981 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 20
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


 19.05,   2.61E-009, 
 19.10,   2.57E-009, 
 19.15,   2.47E-009, 
 19.20,   2.54E-009, 
 19.25,   2.51E-009, 
 19.30,   2.35E-009, 
 19.35,   2.30E-009, 
 19.40,   1.89E-009, 
 19.45,   1.43E-009, 
 19.50,   1.20E-009, 
 19.55,   9.51E-010, 
 19.60,   8.61E-010, 
 19.65,   8.07E-010, 
 19.70,   9.45E-010, 
 19.75,   1.08E-009, 
 19.80,   1.26E-009, 
 19.85,   1.55E-009, 
 19.90,   1.79E-009, 
 19.95,   2.08E-009, 
 20.00,   2.27E-009, 
 20.05,   2.35E-009, 
 20.10,   2.44E-009, 
 20.15,   2.56E-009, 
 20.20,   2.49E-009, 
 20.25,   2.42E-009, 
 20.30,   2.28E-009, 
 20.35,   2.20E-009, 
 20.40,   1.78E-009, 
 20.45,   1.37E-009, 
 20.50,   1.01E-009, 
 20.55,   7.15E-010, 
 20.60,   6.13E-010, 
 20.65,   4.27E-010, 
 20.70,   2.63E-010, 
 20.75,   2.88E-010, 
 20.80,   1.34E-010, 
 20.85,   1.20E-010, 
 20.90,   7.38E-011, 
 20.95,   5.23E-011, 
 21.00,   3.90E-011, 
 21.05,  -4.24E-011, 
 21.10,   3.60E-011, 
 21.15,   3.84E-011, 
 21.20,   2.21E-011, 
 21.25,   2.67E-011, 
 21.30,  -6.34E-011, 
 21.35,   2.33E-012, 
 21.40,  -2.33E-012, 
 21.45,  -2.97E-011, 
 21.50,  -8.72E-012, 
 21.55,  -2.67E-011, 
 21.60,   4.42E-011, 
 21.65,   4.42E-011, 
 21.70,   5.23E-012, 
 21.75,   8.43E-011, 
 21.80,   7.15E-011, 
 21.85,   1.20E-010, 
 21.90,   1.93E-010, 
 21.95,   1.52E-010, 
 22.00,   2.10E-010, 
 22.05,   2.13E-010, 
 22.10,   1.91E-010, 
 22.15,   2.77E-010, 
 22.20,   2.27E-010, 
 22.25,   2.16E-010, 
 22.30,   1.76E-010, 
 22.35,   2.02E-010, 
 22.40,   1.62E-010, 
 22.45,   5.47E-011, 
 22.50,   8.08E-011, 
 22.55,   3.78E-011, 
 22.60,   1.10E-011, 
 22.65,   2.44E-011, 
 22.70,  -9.71E-011, 
 22.75,  -3.08E-011, 
 22.80,  -2.27E-011, 
 22.85,  -5.70E-011, 
 22.90,  -2.44E-011, 
 22.95,  -3.08E-011, 
 23.00,  -3.90E-011, 
 23.05,  -9.42E-011, 
 23.10,   1.40E-011, 
 23.15,  -1.16E-011, 
 23.20,  -7.03E-011, 
 23.25,   8.72E-012, 
 23.30,   1.57E-011, 
 23.35,   8.66E-011, 
 23.40,   1.29E-010, 
 23.45,   4.30E-011, 
 23.50,   8.02E-011, 
 23.55,   9.07E-011, 
 23.60,   2.26E-010, 
 23.65,   2.08E-010, 
 23.70,   1.75E-010, 
 23.75,   2.19E-010, 
 23.80,   1.81E-010, 
 23.85,   2.06E-010, 
 23.90,   2.82E-010, 
 23.95,   2.98E-010, 
 24.00,   4.20E-010, 
 24.05,   4.45E-010, 
 24.10,   4.38E-010, 
 24.15,   4.76E-010, 
 24.20,   4.70E-010, 
 24.25,   4.49E-010, 
 24.30,   5.74E-010, 
 24.35,   4.75E-010, 
 24.40,   3.94E-010, 
 24.45,   3.03E-010, 
 24.50,   1.99E-010, 
 24.55,   1.97E-010, 
 24.60,   2.03E-010, 
 24.65,   3.71E-010, 
 24.70,   4.51E-010, 
 24.75,   6.20E-010, 
 24.80,   8.80E-010, 
 24.85,   1.01E-009, 
 24.90,   1.20E-009, 
 24.95,   1.47E-009, 
 25.00,   1.53E-009, 
 25.05,   1.83E-009, 
 25.10,   1.92E-009, 
 25.15,   1.98E-009, 
 25.20,   2.04E-009, 
 25.25,   1.94E-009, 
 25.30,   1.94E-009, 
 25.35,   1.83E-009, 
 25.40,   1.66E-009, 
 25.45,   1.35E-009, 
 25.50,   1.07E-009, 
 25.55,   9.39E-010, 
 25.60,   9.86E-010, 
 25.65,   1.29E-009, 
 25.70,   1.82E-009, 
 25.75,   2.59E-009, 
 25.80,   3.98E-009, 
 25.85,   5.38E-009, 
 25.90,   6.76E-009, 
 25.95,   8.27E-009, 
 26.00,   9.83E-009, 
 26.05,   1.09E-008, 
 26.10,   1.14E-008, 
 26.15,   1.19E-008, 
 26.20,   1.27E-008, 
 26.25,   1.22E-008, 
 26.30,   1.17E-008, 
 26.35,   1.09E-008, 
 26.40,   9.07E-009, 
 26.45,   6.28E-009, 
 26.50,   4.39E-009, 
 26.55,   3.39E-009, 
 26.60,   3.16E-009, 
 26.65,   3.52E-009, 
 26.70,   4.49E-009, 
 26.75,   6.29E-009, 
 26.80,   9.38E-009, 
 26.85,   1.34E-008, 
 26.90,   1.76E-008, 
 26.95,   2.19E-008, 
 27.00,   2.59E-008, 
 27.05,   2.85E-008, 
 27.10,   2.88E-008, 
 27.15,   2.97E-008, 
 27.20,   3.13E-008, 
 27.25,   3.00E-008, 
 27.30,   2.83E-008, 
 27.35,   2.62E-008, 
 27.40,   2.08E-008, 
 27.45,   1.31E-008, 
 27.50,   8.60E-009, 
 27.55,   7.14E-009, 
 27.60,   7.90E-009, 
 27.65,   1.03E-008, 
 27.70,   1.47E-008, 
 27.75,   2.37E-008, 
 27.80,   3.84E-008, 
 27.85,   5.26E-008, 
 27.90,   6.41E-008, 
 27.95,   7.62E-008, 
 28.00,   8.45E-008, 
 28.05,   8.43E-008, 
 28.10,   8.29E-008, 
 28.15,   8.78E-008, 
 28.20,   8.98E-008, 
 28.25,   7.97E-008, 
 28.30,   7.62E-008, 
 28.35,   6.41E-008, 
 28.40,   3.99E-008, 
 28.45,   1.96E-008, 
 28.50,   1.06E-008, 
 28.55,   7.07E-009, 
 28.60,   5.63E-009, 
 28.65,   5.49E-009, 
 28.70,   6.30E-009, 
 28.75,   8.02E-009, 
 28.80,   1.16E-008, 
 28.85,   1.67E-008, 
 28.90,   2.23E-008, 
 28.95,   2.83E-008, 
 29.00,   3.38E-008, 
 29.05,   3.73E-008, 
 29.10,   3.73E-008, 
 29.15,   3.79E-008, 
 29.20,   4.00E-008, 
 29.25,   3.89E-008, 
 29.30,   3.62E-008, 
 29.35,   3.34E-008, 
