Sep 19, 2019  03:25:17 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


 39.90,   1.90E-009, 
 40.00,   2.41E-009, 
 40.10,   3.06E-009, 
 40.20,   3.70E-009, 
 40.30,   3.90E-009, 
 40.40,   3.92E-009, 
 40.50,   3.48E-009, 
 40.60,   2.60E-009, 
 40.70,   2.24E-009, 
 40.80,   2.96E-009, 
 40.90,   5.19E-009, 
 41.00,   9.90E-009, 
 41.10,   1.50E-008, 
 41.20,   1.98E-008, 
 41.30,   2.09E-008, 
 41.40,   2.14E-008, 
 41.50,   1.81E-008, 
 41.60,   1.20E-008, 
 41.70,   5.67E-009, 
 41.80,   3.57E-009, 
 41.90,   3.21E-009, 
 42.00,   4.20E-009, 
 42.10,   5.80E-009, 
 42.20,   7.39E-009, 
 42.30,   8.04E-009, 
 42.40,   8.52E-009, 
 42.50,   7.78E-009, 
 42.60,   5.80E-009, 
 42.70,   3.57E-009, 
 42.80,   3.08E-009, 
 42.90,   4.00E-009, 
 43.00,   7.12E-009, 
 43.10,   1.07E-008, 
 43.20,   1.44E-008, 
 43.30,   1.59E-008, 
 43.40,   1.65E-008, 
 43.50,   1.48E-008, 
 43.60,   1.12E-008, 
 43.70,   8.49E-009, 
 43.80,   9.38E-009, 
 43.90,   1.74E-008, 
 44.00,   3.27E-008, 
 44.10,   4.66E-008, 
 44.20,   5.45E-008, 
 44.30,   5.41E-008, 
 44.40,   5.07E-008, 
 44.50,   3.86E-008, 
 44.60,   1.78E-008, 
 44.70,   6.81E-009, 
 44.80,   3.78E-009, 
 44.90,   3.04E-009, 
 45.00,   3.34E-009, 
 45.10,   4.30E-009, 
 45.20,   5.34E-009, 
 45.30,   5.91E-009, 
 45.40,   6.10E-009, 
 45.50,   5.43E-009, 
 45.60,   3.96E-009, 
 45.70,   2.13E-009, 
 45.80,   1.30E-009, 
 45.90,   1.05E-009, 
 46.00,   1.02E-009, 
 46.10,   1.16E-009, 
 46.20,   1.37E-009, 
 46.30,   1.53E-009, 
 46.40,   1.65E-009, 
 46.50,   1.49E-009, 
 46.60,   1.19E-009, 
 46.70,   7.02E-010, 
 46.80,   5.07E-010, 
 46.90,   4.28E-010, 
 47.00,   4.48E-010, 
 47.10,   4.70E-010, 
 47.20,   5.21E-010, 
 47.30,   4.97E-010, 
 47.40,   5.08E-010, 
 47.50,   4.42E-010, 
 47.60,   2.90E-010, 
 47.70,   2.01E-010, 
 47.80,   1.57E-010, 
 47.90,   9.19E-011, 
 48.00,   2.31E-010, 
 48.10,   3.66E-010, 
 48.20,   3.84E-010, 
 48.30,   3.70E-010, 
 48.40,   4.22E-010, 
 48.50,   4.06E-010, 
 48.60,   3.21E-010, 
 48.70,   2.16E-010, 
 48.80,   1.63E-010, 
 48.90,   1.23E-010, 
 49.00,   1.16E-010, 
 49.10,   1.73E-010, 
 49.20,   1.78E-010, 
 49.30,   2.44E-010, 
 49.40,   3.29E-010, 
 49.50,   2.95E-010, 
 49.60,   1.45E-010, 
 49.70,   1.20E-010, 
 49.80,   6.57E-011, 
 49.90,   1.73E-010, 
 50.00,   3.74E-010, 
